state_name,district_name,district_key,year,year_start,shannon_index,simpson_index,crop_richness,total_cropped_area,dominant_crop,dominant_crop_share,top3_crops_share
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2003-04,2003,1.6116,0.6466,30,284480.0,Groundnut,0.5611,0.8164
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2004-05,2004,1.4583,0.5702,31,343466.0,Groundnut,0.6369,0.8314
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2005-06,2005,1.4527,0.6217,30,347719.0,Groundnut,0.5618,0.8639
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2006-07,2006,1.7978,0.7355,30,237532.0,Groundnut,0.4433,0.7977
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2007-08,2007,1.4292,0.6202,14,289000.0,Groundnut,0.5779,0.8616
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2008-09,2008,1.4341,0.595,29,312952.0,Groundnut,0.6036,0.867
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2009-10,2009,1.7004,0.6912,29,276331.0,Groundnut,0.5046,0.8017
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2010-11,2010,1.5623,0.6505,31,298032.0,Groundnut,0.5434,0.843
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2011-12,2011,1.5861,0.6532,32,268326.0,Groundnut,0.5447,0.841
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2012-13,2012,1.51,0.6347,23,265619.0,Groundnut,0.5647,0.8508
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2013-14,2013,1.5643,0.6424,31,277597.0,Groundnut,0.5586,0.8397
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2014-15,2014,1.6445,0.6599,31,241325.0,Groundnut,0.5445,0.8226
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2015-16,2015,1.7424,0.7602,31,396142.0,Groundnut,0.3195,0.8314
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2016-17,2016,1.6359,0.7132,31,407875.0,Niger Seed,0.3739,0.8501
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2017-18,2017,1.7631,0.7535,32,396689.0,Niger Seed,0.3294,0.8194
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2018-19,2018,1.8501,0.7825,32,373622.0,Niger Seed,0.3061,0.7437
Andhra Pradesh,Chittoor,ANDHRA PRADESH|CHITTOOR,2019-20,2019,1.8736,0.7849,32,367350.0,Niger Seed,0.2991,0.7422
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,1997-98,1997,1.204,0.518,16,545600.0,Rice,0.6754,0.8942
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,1998-99,1998,1.1689,0.4986,18,599100.0,Rice,0.6909,0.9045
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,1999-00,1999,1.1243,0.4846,22,579153.0,Rice,0.7014,0.9121
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2000-01,2000,1.5819,0.6227,33,701141.0,Rice,0.5945,0.7678
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2001-02,2001,1.6118,0.6418,32,672175.0,Rice,0.5751,0.7643
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2002-03,2002,1.6894,0.6759,31,557656.0,Rice,0.5402,0.7339
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2003-04,2003,1.6339,0.6415,31,693562.0,Rice,0.5767,0.7567
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2004-05,2004,1.6151,0.6356,29,663995.0,Rice,0.5835,0.7514
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2005-06,2005,1.6474,0.6445,33,673215.0,Rice,0.5755,0.7449
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2006-07,2006,1.6255,0.6375,32,681959.0,Rice,0.582,0.7468
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2007-08,2007,1.0915,0.4709,16,577000.0,Rice,0.7123,0.9116
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2008-09,2008,1.5036,0.5838,31,649721.0,Rice,0.6312,0.776
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2009-10,2009,1.6203,0.6314,30,521249.0,Rice,0.5882,0.7541
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2010-11,2010,1.401,0.5498,27,623020.0,Rice,0.6589,0.796
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2011-12,2011,1.5848,0.6203,32,562746.0,Rice,0.599,0.7488
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2012-13,2012,1.3049,0.5266,16,592606.0,Rice,0.6767,0.8134
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2013-14,2013,1.4426,0.5521,32,614526.0,Rice,0.6585,0.7879
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2014-15,2014,1.5067,0.5643,31,606666.0,Rice,0.6496,0.7757
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2015-16,2015,1.5377,0.584,31,603501.0,Rice,0.6325,0.7654
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2016-17,2016,1.6407,0.6404,31,663293.0,Rice,0.5789,0.7586
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2017-18,2017,1.5941,0.5929,30,617184.0,Rice,0.6263,0.7542
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2018-19,2018,1.6217,0.6251,30,650228.0,Rice,0.593,0.7798
Andhra Pradesh,East Godavari,ANDHRA PRADESH|EAST GODAVARI,2019-20,2019,1.5034,0.5665,30,599021.0,Rice,0.647,0.7871
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,1997-98,1997,1.6317,0.7307,17,746200.0,Rice,0.4148,0.8468
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,1998-99,1998,1.5882,0.7214,15,768500.0,Rice,0.4262,0.8485
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,1999-00,1999,1.6892,0.7434,19,754965.0,Rice,0.4208,0.7945
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2000-01,2000,1.8005,0.7639,26,784442.0,Rice,0.3896,0.7717
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2001-02,2001,1.7238,0.7436,25,760093.0,Rice,0.4176,0.799
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2002-03,2002,1.9248,0.7926,29,658188.0,Rice,0.3125,0.7349
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2003-04,2003,2.2805,0.8588,28,692641.0,Rice,0.2545,0.5522
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2004-05,2004,1.9082,0.7747,29,700863.0,Rice,0.3733,0.7242
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2005-06,2005,1.7661,0.7371,25,730066.0,Rice,0.4387,0.7871
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2006-07,2006,1.7226,0.7417,24,732227.0,Rice,0.4337,0.7776
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2007-08,2007,1.7281,0.7556,15,748000.0,Rice,0.4104,0.7553
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2008-09,2008,1.7209,0.738,23,766910.0,Rice,0.434,0.7765
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2009-10,2009,1.7998,0.7595,26,733226.0,Rice,0.4131,0.7142
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2010-11,2010,1.8348,0.7629,28,806922.0,Rice,0.4083,0.7187
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2011-12,2011,1.8898,0.777,26,756316.0,Rice,0.3871,0.7029
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2012-13,2012,2.0288,0.8196,22,681949.0,Cotton(Lint),0.2742,0.6643
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2013-14,2013,1.8573,0.7609,28,817436.0,Rice,0.4015,0.7443
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2014-15,2014,1.8257,0.7656,27,761986.0,Rice,0.3744,0.7294
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2015-16,2015,2.0225,0.8117,28,642052.0,Cotton(Lint),0.3089,0.6661
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2016-17,2016,2.0683,0.8328,26,658081.0,Rice,0.2674,0.6348
