state_name,district_name,district_key,shannon_index_early,simpson_index_early,crop_richness_early,total_cropped_area_early,dominant_crop_early,dominant_crop_share_early,top3_crops_share_early,shannon_index_late,simpson_index_late,crop_richness_late,total_cropped_area_late,dominant_crop_late,dominant_crop_share_late,top3_crops_share_late,shannon_change,simpson_change,richness_change
Rajasthan,Karauli,RAJASTHAN|KARAULI,1.5817,0.7405,37,2373923.0,Bajra,0.3791,0.8385,1.4305,0.7117,32,1608173.0,Bajra,0.4006,0.8986,-0.1512,-0.028800000000000048,-5
Rajasthan,Kota,RAJASTHAN|KOTA,1.8304,0.7847,36,3288530.0,Soyabean,0.3194,0.7724,1.8674,0.7988,31,2552752.0,Soyabean,0.3088,0.7025,0.03699999999999992,0.014100000000000001,-5
Rajasthan,Nagaur,RAJASTHAN|NAGAUR,2.0676,0.8178,34,11099660.0,Bajra,0.352,0.5979,1.9645,0.7818,28,7293880.0,Moong(Green Gram),0.3895,0.6871,-0.10310000000000019,-0.03599999999999992,-6
Rajasthan,Pali,RAJASTHAN|PALI,2.2623,0.8734,35,4835605.0,Bajra,0.1825,0.5217,2.1069,0.8252,32,3661228.0,Moong(Green Gram),0.3502,0.5674,-0.1554000000000002,-0.04819999999999991,-3
Rajasthan,Pratapgarh,RAJASTHAN|PRATAPGARH,0.0,0.0,1,3.0,Banana,1.0,1.0,1.6893,0.7313,34,1507851.0,Soyabean,0.4353,0.8045,1.6893,0.7313,33
Rajasthan,Rajsamand,RAJASTHAN|RAJSAMAND,1.5991,0.6195,37,949181.0,Maize,0.5969,0.7899,1.6117,0.6837,34,633304.0,Maize,0.4994,0.8142,0.012599999999999945,0.06419999999999992,-3
Rajasthan,Sawai Madhopur,RAJASTHAN|SAWAI MADHOPUR,1.7575,0.7473,35,2928319.0,Rapeseed &Mustard,0.4217,0.7876,1.8484,0.7927,33,2073535.0,Rapeseed &Mustard,0.3566,0.6892,0.09089999999999998,0.045399999999999996,-2
Rajasthan,Sikar,RAJASTHAN|SIKAR,1.8872,0.7769,32,5904600.0,Bajra,0.4139,0.65,1.9555,0.7925,31,3445314.0,Bajra,0.3936,0.6574,0.06830000000000003,0.015599999999999947,-1
Rajasthan,Sirohi,RAJASTHAN|SIROHI,2.443,0.8919,34,1463633.0,Maize,0.167,0.4378,2.383,0.8857,32,965321.0,Castor Seed,0.2025,0.4703,-0.06000000000000005,-0.006199999999999983,-2
Rajasthan,Tonk,RAJASTHAN|TONK,2.1483,0.842,35,4594149.0,Rapeseed &Mustard,0.3038,0.5867,2.0666,0.815,35,3406943.0,Rapeseed &Mustard,0.3623,0.5837,-0.08169999999999966,-0.027000000000000024,0
Rajasthan,Udaipur,RAJASTHAN|UDAIPUR,1.6504,0.636,37,2706104.0,Maize,0.5804,0.7674,1.6676,0.6877,35,1663919.0,Maize,0.4976,0.7966,0.017199999999999882,0.05169999999999997,-2
