div_key,shrug_key,method,score,n_sharing_parent
ASSAM|BONGAIGAON,ASSAM|BONGAIGAON,exact,1.0,1.0
ASSAM|CACHAR,ASSAM|CACHAR,exact,1.0,1.0
ASSAM|CHARAIDEO,ASSAM|SIVASAGAR,parent_map,1.0,2.0
ASSAM|CHIRANG,ASSAM|CHIRANG,exact,1.0,1.0
ASSAM|DARRANG,ASSAM|DARRANG,exact,1.0,1.0
ASSAM|DHEMAJI,ASSAM|DHEMAJI,exact,1.0,1.0
ASSAM|DHUBRI,ASSAM|DHUBRI,exact,1.0,2.0
ASSAM|DIBRUGARH,ASSAM|DIBRUGARH,exact,1.0,1.0
ASSAM|DIMA HASAO,ASSAM|DIMA HASAO,exact,1.0,1.0
ASSAM|GOALPARA,ASSAM|GOALPARA,exact,1.0,1.0
ASSAM|GOLAGHAT,ASSAM|GOLAGHAT,exact,1.0,1.0
ASSAM|HAILAKANDI,ASSAM|HAILAKANDI,exact,1.0,1.0
ASSAM|HOJAI,ASSAM|NAGAON,parent_map,1.0,2.0
ASSAM|JORHAT,ASSAM|JORHAT,exact,1.0,2.0
ASSAM|KAMRUP,ASSAM|KAMRUP,exact,1.0,1.0
ASSAM|KAMRUP METRO,ASSAM|KAMRUP METROPOLITAN,fuzzy_review,0.774,1.0
ASSAM|KARBI ANGLONG,ASSAM|KARBI ANGLONG,exact,1.0,2.0
ASSAM|KARIMGANJ,ASSAM|KARIMGANJ,exact,1.0,1.0
ASSAM|KOKRAJHAR,ASSAM|KOKRAJHAR,exact,1.0,1.0
ASSAM|LAKHIMPUR,ASSAM|LAKHIMPUR,exact,1.0,1.0
ASSAM|MAJULI,ASSAM|JORHAT,parent_map,1.0,2.0
ASSAM|MARIGAON,ASSAM|MORIGAON,fuzzy_auto,0.875,1.0
ASSAM|NAGAON,ASSAM|NAGAON,exact,1.0,2.0
ASSAM|NALBARI,ASSAM|NALBARI,exact,1.0,1.0
ASSAM|SIVASAGAR,ASSAM|SIVASAGAR,exact,1.0,2.0
ASSAM|SONITPUR,ASSAM|SONITPUR,exact,1.0,2.0
ASSAM|SOUTH SALMARA MANCACHAR,ASSAM|DHUBRI,parent_map,1.0,2.0
ASSAM|TINSUKIA,ASSAM|TINSUKIA,exact,1.0,1.0
ASSAM|UDALGURI,ASSAM|UDALGURI,exact,1.0,1.0
ASSAM|WEST KARBI ANGLONG,ASSAM|KARBI ANGLONG,fuzzy_review,0.839,2.0
BIHAR|ARARIA,BIHAR|ARARIA,exact,1.0,1.0
BIHAR|ARWAL,BIHAR|ARWAL,exact,1.0,1.0
BIHAR|AURANGABAD,BIHAR|AURANGABAD,exact,1.0,1.0
BIHAR|BANKA,BIHAR|BANKA,exact,1.0,1.0
BIHAR|BEGUSARAI,BIHAR|BEGUSARAI,exact,1.0,1.0
BIHAR|BHAGALPUR,BIHAR|BHAGALPUR,exact,1.0,1.0
BIHAR|BHOJPUR,BIHAR|BHOJPUR,exact,1.0,1.0
BIHAR|BUXAR,BIHAR|BUXAR,exact,1.0,1.0
BIHAR|DARBHANGA,BIHAR|DARBHANGA,exact,1.0,1.0
BIHAR|GAYA,BIHAR|GAYA,exact,1.0,1.0
BIHAR|GOPALGANJ,BIHAR|GOPALGANJ,exact,1.0,1.0
BIHAR|JAMUI,BIHAR|JAMUI,exact,1.0,1.0
BIHAR|JEHANABAD,BIHAR|JEHANABAD,exact,1.0,1.0
BIHAR|KAIMUR (BHABUA),BIHAR|KAIMUR BHABUA,exact,1.0,1.0
BIHAR|KATIHAR,BIHAR|KATIHAR,exact,1.0,1.0
BIHAR|KHAGARIA,BIHAR|KHAGARIA,exact,1.0,1.0
BIHAR|KISHANGANJ,BIHAR|KISHANGANJ,exact,1.0,1.0
BIHAR|LAKHISARAI,BIHAR|LAKHISARAI,exact,1.0,1.0
BIHAR|MADHEPURA,BIHAR|MADHEPURA,exact,1.0,1.0
BIHAR|MADHUBANI,BIHAR|MADHUBANI,exact,1.0,1.0
BIHAR|MUNGER,BIHAR|MUNGER,exact,1.0,1.0
BIHAR|MUZAFFARPUR,BIHAR|MUZAFFARPUR,exact,1.0,1.0
BIHAR|NALANDA,BIHAR|NALANDA,exact,1.0,1.0
BIHAR|NAWADA,BIHAR|NAWADA,exact,1.0,1.0
BIHAR|PASHCHIM CHAMPARAN,BIHAR|PASHCHIM CHAMPARAN,exact,1.0,1.0
BIHAR|PATNA,BIHAR|PATNA,exact,1.0,1.0
BIHAR|PURBI CHAMPARAN,BIHAR|PURBA CHAMPARAN,fuzzy_auto,0.933,1.0
BIHAR|PURNIA,BIHAR|PURNIA,exact,1.0,1.0
BIHAR|ROHTAS,BIHAR|ROHTAS,exact,1.0,1.0
BIHAR|SAHARSA,BIHAR|SAHARSA,exact,1.0,1.0
BIHAR|SAMASTIPUR,BIHAR|SAMASTIPUR,exact,1.0,1.0
BIHAR|SARAN,BIHAR|SARAN,exact,1.0,1.0
BIHAR|SHEIKHPURA,BIHAR|SHEIKHPURA,exact,1.0,1.0
BIHAR|SHEOHAR,BIHAR|SHEOHAR,exact,1.0,1.0
BIHAR|SITAMARHI,BIHAR|SITAMARHI,exact,1.0,1.0
BIHAR|SIWAN,BIHAR|SIWAN,exact,1.0,1.0
BIHAR|SUPAUL,BIHAR|SUPAUL,exact,1.0,1.0
BIHAR|VAISHALI,BIHAR|VAISHALI,exact,1.0,1.0
CHANDIGARH|CHANDIGARH,CHANDIGARH|CHANDIGARH,exact,1.0,1.0
CHHATTISGARH|BALOD,CHHATTISGARH|DURG,parent_map,1.0,3.0
CHHATTISGARH|BALODA BAZAR,CHHATTISGARH|RAIPUR,parent_map,1.0,3.0
CHHATTISGARH|BALRAMPUR,CHHATTISGARH|SURGUJA,parent_map,1.0,3.0
CHHATTISGARH|BASTAR,CHHATTISGARH|BASTAR,exact,1.0,2.0
CHHATTISGARH|BEMETARA,CHHATTISGARH|DURG,parent_map,1.0,3.0
CHHATTISGARH|BIJAPUR,CHHATTISGARH|BIJAPUR,exact,1.0,1.0
CHHATTISGARH|BILASPUR,CHHATTISGARH|BILASPUR,exact,1.0,3.0
CHHATTISGARH|DAKSHIN BASTAR DANTEWADA,CHHATTISGARH|DAKSHIN BASTAR DANTEWADA,exact,1.0,3.0
CHHATTISGARH|DHAMTARI,CHHATTISGARH|DHAMTARI,exact,1.0,1.0
CHHATTISGARH|DURG,CHHATTISGARH|DURG,exact,1.0,3.0
CHHATTISGARH|GARIYABAND,CHHATTISGARH|RAIPUR,parent_map,1.0,3.0
CHHATTISGARH|GAURELLA-PENDRA-MARWAHI,CHHATTISGARH|BILASPUR,parent_map,1.0,3.0
CHHATTISGARH|JANJGIR-CHAMPA,CHHATTISGARH|JANJGIR CHAMPA,exact,1.0,1.0
CHHATTISGARH|JASHPUR,CHHATTISGARH|JASHPUR,exact,1.0,1.0
CHHATTISGARH|KABIRDHAM,CHHATTISGARH|KABEERDHAM,parent_map,1.0,2.0
CHHATTISGARH|KANKER,CHHATTISGARH|UTTAR BASTAR KANKER,parent_map,1.0,1.0
CHHATTISGARH|KONDAGAON,CHHATTISGARH|BASTAR,parent_map,1.0,2.0
CHHATTISGARH|KORBA,CHHATTISGARH|KORBA,exact,1.0,1.0
CHHATTISGARH|KOREA,CHHATTISGARH|KORIYA,parent_map,1.0,2.0
CHHATTISGARH|MAHASAMUND,CHHATTISGARH|MAHASAMUND,exact,1.0,1.0
CHHATTISGARH|MUNGELI,CHHATTISGARH|BILASPUR,parent_map,1.0,3.0
CHHATTISGARH|NARAYANPUR,CHHATTISGARH|NARAYANPUR,exact,1.0,1.0
CHHATTISGARH|RAIGARH,CHHATTISGARH|RAIGARH,exact,1.0,1.0
CHHATTISGARH|RAIPUR,CHHATTISGARH|RAIPUR,exact,1.0,3.0
CHHATTISGARH|RAJNANDGAON,CHHATTISGARH|RAJNANDGAON,exact,1.0,1.0
CHHATTISGARH|SUKMA,CHHATTISGARH|DAKSHIN BASTAR DANTEWADA,parent_map,1.0,3.0
CHHATTISGARH|SURAJPUR,CHHATTISGARH|SURGUJA,parent_map,1.0,3.0
CHHATTISGARH|SURGUJA,CHHATTISGARH|SURGUJA,exact,1.0,3.0
GOA|NORTH GOA,GOA|NORTH GOA,exact,1.0,1.0
GOA|SOUTH GOA,GOA|SOUTH GOA,exact,1.0,1.0
GUJARAT|AHMADABAD,GUJARAT|AHMADABAD,exact,1.0,1.0
GUJARAT|AMRELI,GUJARAT|AMRELI,exact,1.0,1.0
GUJARAT|ANAND,GUJARAT|ANAND,exact,1.0,1.0
GUJARAT|ARAVALLI,GUJARAT|SABAR KANTHA,parent_map,1.0,2.0
GUJARAT|BANAS KANTHA,GUJARAT|BANAS KANTHA,exact,1.0,1.0
GUJARAT|BHARUCH,GUJARAT|BHARUCH,exact,1.0,1.0
GUJARAT|BHAVNAGAR,GUJARAT|BHAVNAGAR,exact,1.0,2.0
GUJARAT|BOTAD,GUJARAT|BHAVNAGAR,parent_map,1.0,2.0
GUJARAT|CHHOTAUDEPUR,GUJARAT|VADODARA,parent_map,1.0,2.0
GUJARAT|DANG,GUJARAT|THE DANGS,parent_map,1.0,1.0
GUJARAT|DEVBHUMI DWARKA,GUJARAT|JAMNAGAR,parent_map,1.0,2.0
GUJARAT|DOHAD,GUJARAT|DOHAD,exact,1.0,1.0
GUJARAT|GANDHINAGAR,GUJARAT|GANDHINAGAR,exact,1.0,1.0
GUJARAT|GIR SOMNATH,GUJARAT|JUNAGADH,parent_map,1.0,2.0
GUJARAT|JAMNAGAR,GUJARAT|JAMNAGAR,exact,1.0,2.0
GUJARAT|JUNAGADH,GUJARAT|JUNAGADH,exact,1.0,2.0
GUJARAT|KACHCHH,GUJARAT|KACHCHH,exact,1.0,1.0
GUJARAT|KHEDA,GUJARAT|KHEDA,exact,1.0,1.0
GUJARAT|MAHESANA,GUJARAT|MAHESANA,exact,1.0,1.0
GUJARAT|MAHISAGAR,GUJARAT|PANCH MAHALS,parent_map,1.0,2.0
GUJARAT|MORBI,GUJARAT|RAJKOT,parent_map,1.0,2.0
GUJARAT|NARMADA,GUJARAT|NARMADA,exact,1.0,1.0
GUJARAT|NAVSARI,GUJARAT|NAVSARI,exact,1.0,1.0
GUJARAT|PANCH MAHALS,GUJARAT|PANCH MAHALS,exact,1.0,2.0
GUJARAT|PATAN,GUJARAT|PATAN,exact,1.0,1.0
GUJARAT|PORBANDAR,GUJARAT|PORBANDAR,exact,1.0,1.0
GUJARAT|RAJKOT,GUJARAT|RAJKOT,exact,1.0,2.0
GUJARAT|SABAR KANTHA,GUJARAT|SABAR KANTHA,exact,1.0,2.0
GUJARAT|SURAT,GUJARAT|SURAT,exact,1.0,1.0
GUJARAT|SURENDRANAGAR,GUJARAT|SURENDRANAGAR,exact,1.0,1.0
GUJARAT|TAPI,GUJARAT|TAPI,exact,1.0,1.0
GUJARAT|VADODARA,GUJARAT|VADODARA,exact,1.0,2.0
GUJARAT|VALSAD,GUJARAT|VALSAD,exact,1.0,1.0
HARYANA|AMBALA,HARYANA|AMBALA,exact,1.0,1.0
HARYANA|BHIWANI,HARYANA|BHIWANI,exact,1.0,2.0
HARYANA|CHARKI DADRI,HARYANA|BHIWANI,parent_map,1.0,2.0
HARYANA|FARIDABAD,HARYANA|FARIDABAD,exact,1.0,1.0
HARYANA|FATEHABAD,HARYANA|FATEHABAD,exact,1.0,1.0
HARYANA|GURGAON,HARYANA|GURGAON,exact,1.0,1.0
HARYANA|HISAR,HARYANA|HISAR,exact,1.0,1.0
HARYANA|JHAJJAR,HARYANA|JHAJJAR,exact,1.0,1.0
HARYANA|JIND,HARYANA|JIND,exact,1.0,1.0
HARYANA|KAITHAL,HARYANA|KAITHAL,exact,1.0,1.0
HARYANA|KARNAL,HARYANA|KARNAL,exact,1.0,1.0
HARYANA|KURUKSHETRA,HARYANA|KURUKSHETRA,exact,1.0,1.0
HARYANA|MAHENDRAGARH,HARYANA|MAHENDRAGARH,exact,1.0,1.0
HARYANA|MEWAT,HARYANA|MEWAT,exact,1.0,1.0
HARYANA|PALWAL,HARYANA|PALWAL,exact,1.0,1.0
HARYANA|PANCHKULA,HARYANA|PANCHKULA,exact,1.0,1.0
HARYANA|PANIPAT,HARYANA|PANIPAT,exact,1.0,1.0
HARYANA|REWARI,HARYANA|REWARI,exact,1.0,1.0
HARYANA|ROHTAK,HARYANA|ROHTAK,exact,1.0,1.0
HARYANA|SIRSA,HARYANA|SIRSA,exact,1.0,1.0
HARYANA|SONIPAT,HARYANA|SONIPAT,exact,1.0,1.0
HARYANA|YAMUNANAGAR,HARYANA|YAMUNANAGAR,exact,1.0,1.0
HIMACHAL PRADESH|BILASPUR,HIMACHAL PRADESH|BILASPUR,exact,1.0,1.0
HIMACHAL PRADESH|CHAMBA,HIMACHAL PRADESH|CHAMBA,exact,1.0,1.0
HIMACHAL PRADESH|HAMIRPUR,HIMACHAL PRADESH|HAMIRPUR,exact,1.0,1.0
HIMACHAL PRADESH|KANGRA,HIMACHAL PRADESH|KANGRA,exact,1.0,1.0
HIMACHAL PRADESH|KINNAUR,HIMACHAL PRADESH|KINNAUR,exact,1.0,1.0
HIMACHAL PRADESH|KULLU,HIMACHAL PRADESH|KULLU,exact,1.0,1.0
HIMACHAL PRADESH|LAHUL AND SPITI,HIMACHAL PRADESH|LAHUL SPITI,fuzzy_review,0.846,1.0
HIMACHAL PRADESH|MANDI,HIMACHAL PRADESH|MANDI,exact,1.0,1.0
HIMACHAL PRADESH|SHIMLA,HIMACHAL PRADESH|SHIMLA,exact,1.0,1.0
HIMACHAL PRADESH|SIRMAUR,HIMACHAL PRADESH|SIRMAUR,exact,1.0,1.0
HIMACHAL PRADESH|SOLAN,HIMACHAL PRADESH|SOLAN,exact,1.0,1.0
HIMACHAL PRADESH|UNA,HIMACHAL PRADESH|UNA,exact,1.0,1.0
