pc11_state_id,pc11_district_id,n_villages,shg_per_1000hh,bpl_share,villages_per_100k_pop,viirs_mean,log_viirs,ec13_count_all,ec13_emp_all,estab_per_1000pop,nonfarm_emp_per_1000pop,idx_output_market,idx_input_supply,idx_postharvest,idx_connectivity,m_mandi_vshare,m_mandi_n,m_regular_market_vshare,m_regular_market_n,m_weekly_haat_vshare,m_weekly_haat_n,m_fpo_vshare,m_fpo_n,m_fert_shop_vshare,m_fert_shop_n,m_seed_centre_vshare,m_seed_centre_n,m_soil_test_vshare,m_soil_test_n,m_custom_hire_vshare,m_custom_hire_n,m_storage_vshare,m_storage_n,m_farmgate_proc_vshare,m_farmgate_proc_n,m_pasture_vshare,m_pasture_n,m_livestock_ext_vshare,m_livestock_ext_n,m_pds_vshare,m_pds_n,m_pucca_road_vshare,m_pucca_road_n,m_public_transport_vshare,m_public_transport_n,m_bank_vshare,m_bank_n,m_atm_vshare,m_atm_n,m_railway_vshare,m_railway_n,m_no_electricity_vshare,m_no_electricity_n,m_vet_vshare,m_vet_n,m_milk_route_vshare,m_milk_route_n,m_csc_vshare,m_csc_n
18,305,1243,46.56531334290818,0.46709811889165237,42.40951556255216,0.5216858745894362,0.4198188482494947,172508.0,332392.0,58.857447390705936,113.4077529916962,0.18369363468296254,-0.49665100454123345,-0.6239963191479434,-0.22872561568454022,0.02574416733708769,32.0,0.1834271922767498,228.0,0.14963797264682221,186.0,0.06838294448913917,85.0,0.15205148833467416,189.0,0.015285599356395816,19.0,0.0056315366049879325,7.0,0.013676588897827836,17.0,0.013676588897827836,17.0,0.058728881737731296,73.0,0.15446500402252614,192.0,0.18262268704746581,227.0,0.47385358004827033,589.0,0.3250201126307321,404.0,0.7884151246983105,980.0,0.09654062751407884,120.0,0.06436041834271923,80.0,0.02574416733708769,32.0,0.01850362027353178,23.0,0.06033789219629927,75.0,0.027353177795655673,34.0,0.16492357200321803,205.0
18,306,1579,52.88190287028693,0.5028095266056171,79.12117867005266,0.409252159479652,0.3430591803393114,84775.0,173676.0,42.47940419096716,87.02628135972176,0.22224621037041833,-0.4597577487362654,-0.6462124983748653,-0.47059700368984353,0.008544337233380932,13.491508491508492,0.10766307789740343,170.0,0.26662444585180495,421.0,0.08043065231158962,127.0,0.10829639012032932,171.0,0.03103229892336922,49.0,0.014566181127295756,23.0,0.03103229892336922,49.0,0.015199493350221659,24.0,0.050031665611146296,79.0,0.1260291323622546,199.0,0.20012666244458518,316.0,0.4676956988546602,738.4915084915085,0.22545915136162129,356.0,0.6510449651678277,1028.0,0.06839772007599747,108.0,0.06649778340721976,105.0,0.03799873337555415,60.0,0.03926535782140595,62.0,0.07283090563647879,115.0,0.0253324889170361,40.0,0.1310956301456618,207.0
18,307,1138,54.00156491382943,0.5333266456673956,95.09770495310296,0.1988315505736355,0.18134737457720582,51541.0,104526.0,43.07056951658945,87.34782695894587,-0.15878516823069913,-0.6066770428329082,-0.6396638357929767,-0.2791768604459335,0.009666080843585237,11.0,0.06942003514938488,79.0,0.15641476274165203,178.0,0.08875219683655536,101.0,0.05272407732864675,60.0,0.020210896309314587,23.0,0.01054481546572935,12.0,0.015817223198594025,18.0,0.019332161687170474,22.0,0.04481546572934974,51.0,0.08347978910369068,95.0,0.23725834797891038,270.0,0.3602811950790861,410.0,0.30667838312829526,349.0,0.6766256590509666,770.0,0.0843585237258348,96.0,0.06239015817223199,71.0,0.040421792618629174,46.0,0.0632688927943761,72.0,0.05536028119507909,63.0,0.01757469244288225,20.0,0.10720562390158173,122.0
18,308,1174,49.58225142635084,0.6236465122851642,198.18694397082905,0.131618941815539,0.12364929927260587,26569.0,52164.0,44.852035045664024,88.05982747269444,0.012269341330392328,-0.6470517828418413,-0.5197296459206933,-0.6985591819067793,0.05366269165247019,63.0,0.05281090289608177,62.0,0.12862010221465076,151.0,0.06132879045996593,72.0,0.022998296422487224,27.0,0.01788756388415673,21.0,0.013628620102214651,16.0,0.014480408858603067,17.0,0.05110732538330494,60.0,0.02385008517887564,28.0,0.07397112884425715,86.84210526315789,0.16269165247018738,191.0,0.3577512776831346,420.0,0.1362862010221465,160.0,0.6873935264054515,807.0,0.029812606473594547,35.0,0.017035775127768313,20.0,0.028109028960817718,33.0,0.10477001703577513,123.0,0.03577512776831346,42.0,0.014480408858603067,17.0,0.06132879045996593,72.0
18,309,1113,35.248588211924286,0.5223899656630437,76.50120731689714,1.503534462339365,0.9177035183569331,59981.0,147915.0,41.22748352268471,101.66824869972004,0.016347493019097287,-0.6866928284402225,-0.7175048760588862,-0.4305419565107384,0.004492362982929021,5.0,0.05390835579514825,60.0,0.24528301886792453,273.0,0.06918238993710692,77.0,0.03773584905660377,42.0,0.01078167115902965,12.0,0.005390835579514825,6.0,0.005390835579514825,6.0,0.0071877807726864335,8.0,0.0440251572327044,49.0,0.0889487870619946,99.0,0.13117699910152741,146.0,0.49056603773584906,546.0,0.26774483378256964,298.0,0.7349505840071878,818.0,0.05390835579514825,60.0,0.05390835579514825,60.0,0.026954177897574125,30.0,0.039532794249775384,44.0,0.03504043126684636,39.0,0.012578616352201259,14.0,0.09523809523809523,106.0
18,310,1309,40.45765196367721,0.49855889127910297,106.19397233602402,1.563063356339314,0.9412031666781709,65096.0,147384.0,52.80980002433781,119.5667870036101,-0.0781149018780023,-0.6370428682716716,-0.7229097022820548,-0.4066855484049354,0.0106951871657754,14.0,0.03514132925897632,46.0,0.21161191749427044,277.0,0.04965622612681436,65.0,0.06569900687547746,86.0,0.0106951871657754,14.0,0.007639419404125287,10.0,0.006875477463712758,9.0,0.016042780748663103,21.0,0.02750190985485103,36.0,0.11382734912146678,149.0,0.19862490450725745,260.0,0.6226126814362108,815.0,0.41482047364400304,543.0,0.6149732620320856,805.0,0.05653170359052712,74.0,0.05576776165011459,73.0,0.023682200152788387,31.0,0.02215431627196333,29.0,0.03437738731856379,45.0,0.009931245225362872,13.0,0.057295645530939646,75.0
18,311,804,49.261973778270054,0.5386530923259413,66.17621639951997,1.0265039275304453,0.7063121051699367,61947.0,149155.0,50.98778703110776,122.76758155560202,0.12148227327968024,-0.5325436518730642,-0.8192906990815159,-0.3630602380907322,0.017412935323383085,14.0,0.07587064676616916,61.0,0.23507462686567165,189.0,0.053482587064676616,43.0,0.12935323383084577,104.0,0.012437810945273632,10.0,0.013681592039800995,11.0,0.0024875621890547263,2.0,0.0012437810945273632,1.0,0.026119402985074626,21.0,0.09079601990049752,73.0,0.2798507462686567,225.0,0.599502487562189,482.0,0.41044776119402987,330.0,0.5659203980099502,455.0,0.06965174129353234,56.0,0.05099502487562189,41.0,0.033582089552238806,27.0,0.011194029850746268,9.0,0.06965174129353234,56.0,0.033582089552238806,27.0,0.10945273631840796,88.0
18,312,758,41.35411671962746,0.528716669240209,61.72784210702044,0.414778886194184,0.3469732547109613,80678.0,149113.0,65.70024862150653,121.43039208580659,0.1775603801993325,-0.2796064401079815,-0.4161799895465184,-0.6954261473545758,0.025065963060686015,19.0,0.06464379947229551,49.0,0.24670184696569922,187.0,0.06068601583113457,46.0,0.20844327176781002,158.0,0.03825857519788918,29.0,0.030343007915567283,23.0,0.017150395778364115,13.0,0.032981530343007916,25.0,0.08311345646437995,63.0,0.14116094986807387,107.0,0.2704485488126649,205.0,0.554089709762533,420.0,0.27440633245382584,208.0,0.5065963060686016,384.0,0.08311345646437995,63.0,0.07387862796833773,56.0,0.023746701846965697,18.0,0.06596306068601583,50.0,0.09234828496042216,70.0,0.047493403693931395,36.0,0.19393139841688653,147.0
18,313,1013,42.26369286795381,0.530743167971481,90.71760942531783,1.1205315771775577,0.7516668012045886,58841.0,119637.0,52.69412493776038,107.13901913935587,0.04567587570791948,-0.649736626055349,-0.8390434860900493,-0.818467121114714,0.023692003948667325,24.0,0.06878678865597454,69.68101690850222,0.19842053307008883,201.0,0.05824284304047384,59.0,0.07403751233958539,75.0,0.0019743336623889436,2.0,0.0009871668311944718,1.0,0.014807502467917079,15.0,0.0029615004935834156,3.0,0.017769002961500493,18.0,0.045409674234945706,46.0,0.18657453109575517,189.0,0.5316107061018842,538.5216452812087,0.2349457058242843,238.0,0.578105920550531,585.6212975176879,0.045409674234945706,46.0,0.028627838104639685,29.0,0.012833168805528134,13.0,0.007897334649555774,8.0,0.02073050345508391,21.0,0.0009871668311944718,1.0,0.12537018756169793,127.0
18,314,2323,58.397232707711325,0.4131012350225566,279.6514168563714,0.1498720059472598,0.13965063700464994,47442.0,84922.0,57.112451650882356,102.23227560170801,0.5951438697052192,-0.5543891552283153,-0.757576682214751,-0.5510275098320597,0.012053379250968575,28.0,0.06996663674101285,162.53249714937286,0.4253955413884554,988.193842645382,0.07447266465777012,173.0,0.06523138060670378,151.53249714937286,0.023676280671545414,55.0,0.02582866982350409,60.0,0.005165733964700818,12.0,0.018510546706844596,43.0,0.013775290572535515,32.0,0.025398191993112353,59.0,0.3524168309950155,818.664298401421,0.09751721788608388,226.53249714937286,0.27559052757244673,640.1967955507938,0.6500215238915196,1510.0,0.09407339524295,218.53249714937286,0.04542940040868397,105.53249714937286,0.017649591046061126,41.0,0.19888075764098148,462.0,0.0742714150449302,172.53249714937286,0.008609556607834697,20.0,0.03558514782669865,82.66429840142096
